Date,Description,Debit Amount,Credit Amount,Reference,Category
2025-01-05,Initial Balance,,25000.00,INIT-2025,General
2025-01-06,Cash Withdrawal - ATM,500.00,,ATM-7845,Withdrawal
2025-01-07,Monthly Salary,,5000.00,SAL-JAN-25,Income
2025-01-08,Electric Bill - City Power,120.50,,UTIL-ELEC-25,Utilities
2025-01-09,Supermart Groceries,85.75,,POS-4532,Groceries
2025-01-10,Fund Transfer to J. Smith,250.00,,TRF-89675,Transfers
2025-01-11,Bella Italia Restaurant,65.50,,POS-8732,Dining
2025-01-12,Mobile Phone Bill - Verizon,45.99,,BILL-78934,Utilities
2025-01-13,Shell Gas Station,60.00,,POS-6789,Transportation
2025-01-14,CVS Pharmacy,32.45,,POS-1234,Health
2025-01-15,Starbucks Coffee,6.75,,POS-5678,Dining
2025-01-16,Amazon Prime Purchase,129.99,,ONL-9082,Shopping
2025-01-17,Fitness Club Monthly Fee,50.00,,DD-56473,Health
2025-01-18,Home Insurance Premium,175.50,,INS-56789,Insurance
2025-01-19,Comcast Internet Service,65.00,,UTIL-NET-25,Utilities
2025-01-20,ATM Withdrawal - Branch #45,300.00,,ATM-8956,Withdrawal
2025-01-21,Gap Clothing Purchase,95.20,,POS-4567,Shopping
2025-01-22,Internal Transfer from Savings,,1000.00,TRF-INT-78,Transfers
2025-01-23,Monthly Rent Payment,1200.00,,CHK-8907,Housing
2025-01-24,Stock Dividend - Tech Inc,,45.75,DIV-45678,Income
2025-01-25,Auto Loan Monthly Payment,320.00,,LOAN-5678,Loans
2025-01-26,Barnes & Noble Books,24.99,,POS-3456,Entertainment
2025-01-27,Municipal Water Bill,45.30,,UTIL-WATER-25,Utilities
2025-01-28,Income Tax Refund,,750.00,TAX-RF-2025,Income
2025-01-29,Home Repair Service,152.00,,SRV-4567,Housing
2025-01-30,Staples Office Supplies,28.45,,POS-2345,Office
2025-01-31,Gift Purchase - Jewelry,75.00,,POS-1290,Shopping
2025-02-01,Work Performance Bonus,,250.00,BONUS-FEB-25,Income
2025-02-02,Dental Clinic Visit,120.00,,MED-5690,Health
2025-02-03,Metro Transit Card Reload,12.50,,TRN-4567,Transportation
2025-02-04,Netflix Subscription Renewal,14.99,,SUB-NET-25,Entertainment
2025-02-05,Best Buy Refund,,85.00,REF-BB-25,Return
2025-02-06,Home Depot Purchase,65.75,,POS-8921,Home
2025-02-07,Greenwood Academy Tuition Fee,350.00,,SCH-TUI-25,Education
2025-02-08,Branch ATM Withdrawal,200.00,,ATM-2341,Withdrawal
2025-02-09,Savings Account Interest,,12.35,INT-SAV-25,Income
2025-02-10,Monthly Account Maintenance Fee,10.00,,FEE-25-02,Fees
2025-02-11,Home Mortgage Payment,950.00,,MTG-FEB-25,Housing
2025-02-12,Employment Salary Deposit,,5000.00,SAL-FEB-25,Income
2025-02-13,Kroger Supermarket,122.30,,POS-4890,Groceries
2025-02-14,PetSmart Supplies,45.60,,POS-7821,Pets
2025-02-15,Udemy Online Course,199.00,,ONL-UDM-25,Education
2025-02-16,Wire Transfer from Family,,100.00,WIRE-456789,Income
2025-02-17,SuperCuts Hair Salon,55.00,,POS-3421,Personal Care
2025-02-18,Red Cross Donation,25.00,,DON-5678,Charity
2025-02-19,Pacific Power Electric Bill,115.45,,UTIL-ELEC-FEB,Utilities
2025-02-20,Brokerage Account Investment,1000.00,,INV-56789,Investments
2025-02-21,Lunch at Panda Express,28.75,,POS-6781,Dining
2025-02-22,Vehicle Insurance - Geico,145.00,,INS-78901,Insurance
2025-02-23,Ticket Master - Concert Tickets,125.00,,ENT-5678,Entertainment
2025-02-24,Dunkin' Donuts Coffee,4.25,,POS-2345,Dining
2025-02-25,Target Store Purchase,92.45,,POS-5678,Shopping
2025-02-26,AT&T Mobile Bill,45.99,,BILL-23456,Utilities
2025-02-27,Gym Day Pass,15.00,,POS-7890,Health
2025-02-28,ATM Withdrawal - Downtown,100.00,,ATM-3456,Withdrawal
2025-03-01,Xfinity Internet Payment,65.00,,UTIL-NET-25-1,Utilities
2025-03-02,Thai Palace Restaurant,42.75,,POS-6543,Dining
2025-03-03,Monthly Salary Deposit,,5000.00,SAL-MAR-25,Income
2025-03-04,Monthly Rent Payment,1200.00,,CHK-8908,Housing
2025-03-05,Walgreens Pharmacy,28.99,,POS-7654,Health
2025-03-06,Chevron Gas Station,55.50,,POS-8765,Transportation
2025-03-07,Amazon Electronics Purchase,78.45,,ONL-9083,Shopping
2025-03-08,AMC Movie Tickets,25.00,,ENT-2345,Entertainment
